Turtle_ID,Date,R_Eye,L_Eye,Inside_Mouth,Neck,Base_Front_Flippers,Base_Rear_Flippers,Along_Front_Flippers,Along_Rear_Flippers,Around_Tail,On_Carapace,On_Plastron,Other,Other location,Total- ,Balaz score ,Notes
124CR,,NA,NA,NA,2,3,2,1,NA,NA,NA,NA,NA,NA,8,1,
126CR,,NA,1,NA,NA,4,1,4,NA,NA,NA,NA,NA,NA,10,1,
132CR,,3,2,,5,14,9,,1,2,,,,,36,3,
BM20,,3,2,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,10,1,
BM27,,1,NA,NA,NA,1,19,2,1,2,NA,NA,NA,NA,26,1,
BM07,,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,4,1,
BM09,5/4/17,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,
BM72,5/4/17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,
AN007,1/24/18,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,4,1,Tumors seem regressed. -Simo
AN008,1/24/18,2,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,12,1,
AN010,1/25/18,1,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,9,1,
AN011,1/25/18,1,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,
AN013,1/28/18,NA,NA,NA,N,2,3,NA,NA,NA,NA,NA,NA,NA,5 gigantic tumors,4,Tumor count may be a gross underestimation. No data sheet was available for this turtle.
BM23,8/22/18,NA,NA,NA,NA,5,10,2,NA,NA,NA,NA,NA,NA,17,2,
BM113,8/28/18,1,1,NA,1,5,6,2,NA,NA,NA,NA,NA,NA,16,1,
169,10/5/18,0,0,0,0,1,5,0,0,0,0,0,0,0,6,1,NA
174,10/7/18,1,1,0,5,16,5,6,0,0,0,0,0,0,34,2,NA
175,10/7/18,2,0,0,3,9,22,1,2,0,0,0,0,0,39,1,NA
180,2/17/19,0,0,0,7,7,2,6,0,0,0,1,0,NA,23,2,NA
220,10/11/19,2,2,0,4,5,7,4,2,0,0,3,0,NA,29,3,NA
222,11/22/19,0,0,0,0,0,0,0,0,0,0,2,0,NA,2,1,NA
225,11/25/19,0,0,0,0,2,9,3,1,0,0,0,0,NA,15,1,
226,1/10/20,0,1,0,1,3,23,4,0,0,0,1,0,NA,33,12,
260,6/7/21,3,1,0,0,7,15,7,3,6,0,1,0,NA,43,8,
